# Hills Cf(x) comparison: SST vs DNS (Krank 2018)
# DNS separation: x/H=0.1691
# DNS reattachment: x/H=5.0357
# x/H  Cf_SST  Cf_DNS
4.227539  0.00247529  -0.00172080
4.233398  0.00247522  -0.00169996
4.239258  0.00247513  -0.00167987
4.245117  0.00247503  -0.00165992
4.250977  0.00247491  -0.00163997
4.256836  0.00247477  -0.00161994
4.262695  0.00247462  -0.00159992
4.268555  0.00247447  -0.00158062
4.274414  0.00247430  -0.00156204
4.280273  0.00247413  -0.00154345
4.286133  0.00247397  -0.00152720
4.291992  0.00247381  -0.00151142
4.297852  0.00247366  -0.00149613
4.303711  0.00247353  -0.00148331
4.309570  0.00247342  -0.00147050
4.315430  0.00247334  -0.00145869
4.321289  0.00247328  -0.00144788
4.327148  0.00247325  -0.00143707
4.333008  0.00247324  -0.00142677
4.338867  0.00247327  -0.00141657
4.344727  0.00247332  -0.00140630
4.350586  0.00247338  -0.00139565
4.356445  0.00247347  -0.00138501
4.362305  0.00247356  -0.00137389
4.368164  0.00247367  -0.00136230
4.374023  0.00247377  -0.00135072
4.379883  0.00247387  -0.00133639
4.385742  0.00247396  -0.00132152
4.391602  0.00247403  -0.00130669
4.397461  0.00247410  -0.00129209
4.403320  0.00247414  -0.00127748
4.409180  0.00247416  -0.00126415
4.415039  0.00247417  -0.00125210
4.420898  0.00247415  -0.00124005
4.426758  0.00247411  -0.00123033
