
NOTICE: Existing SQLite export found: /storage/home/hcoda1/6/sbryngelson3/scratch/nncfd/profiles/taylor_green_fft.sqlite
        It is assumed file was previously exported from: /storage/home/hcoda1/6/sbryngelson3/scratch/nncfd/profiles/taylor_green_fft.nsys-rep
        Consider using --force-export=true if needed.

Processing [/storage/home/hcoda1/6/sbryngelson3/scratch/nncfd/profiles/taylor_green_fft.sqlite] with [/storage/pace-apps/manual/packages/nvhpc/25.5/Linux_x86_64/25.5/profilers/Nsight_Systems/host-linux-x64/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances   Avg (ns)     Med (ns)    Min (ns)    Max (ns)   StdDev (ns)   Style            Range         
 --------  ---------------  ---------  -----------  -----------  ---------  ----------  -----------  -------  -----------------------
 --------  ---------------  -------  --------  --------  --------  ----------  -----------  ------------------------------------
     82.3    7,353,252,369  172,543  42,616.9   2,464.0     1,952  19,898,284    734,992.2  [CUDA memcpy Device-to-Host]        
     15.2    1,358,124,386  362,112   3,750.6   2,080.0       735  24,695,476    220,924.6  [CUDA memcpy Host-to-Device]        
      2.5      224,386,246  256,028     876.4     768.0       704       5,632        238.8  [CUDA memset]                       
      0.0            5,983        2   2,991.5   2,991.5     2,559       3,424        611.6  [CUDA memcpy Unified Device-to-Host]
      0.0            5,887        2   2,943.5   2,943.5     2,495       3,392        634.3  [CUDA memcpy Unified Host-to-Device]

Processing [/storage/home/hcoda1/6/sbryngelson3/scratch/nncfd/profiles/taylor_green_fft.sqlite] with [/storage/pace-apps/manual/packages/nvhpc/25.5/Linux_x86_64/25.5/profilers/Nsight_Systems/host-linux-x64/reports/cuda_gpu_mem_size_sum.py]... 

 ** CUDA GPU MemOps Summary (by Size) (cuda_gpu_mem_size_sum):

 Total (MB)    Count   Avg (MB)  Med (MB)  Min (MB)  Max (MB)  StdDev (MB)               Operation              
 -----------  -------  --------  --------  --------  --------  -----------  ------------------------------------
 128,054.553  172,543     0.742     0.002     0.000   248.462       13.537  [CUDA memcpy Device-to-Host]        
   8,452.083  362,112     0.023     0.000     0.000   248.462        2.368  [CUDA memcpy Host-to-Device]        
       1.344  256,028     0.000     0.000     0.000     0.000        0.000  [CUDA memset]                       
       0.066        2     0.033     0.033     0.004     0.061        0.041  [CUDA memcpy Unified Device-to-Host]
       0.066        2     0.033     0.033     0.008     0.057        0.035  [CUDA memcpy Unified Host-to-Device]

Processing [/storage/home/hcoda1/6/sbryngelson3/scratch/nncfd/profiles/taylor_green_fft.sqlite] with [/storage/pace-apps/manual/packages/nvhpc/25.5/Linux_x86_64/25.5/profilers/Nsight_Systems/host-linux-x64/reports/openmp_sum.py]... 
SKIPPED: /storage/home/hcoda1/6/sbryngelson3/scratch/nncfd/profiles/taylor_green_fft.sqlite does not contain OpenMP event data.

Processing [/storage/home/hcoda1/6/sbryngelson3/scratch/nncfd/profiles/taylor_green_fft.sqlite] with [/storage/pace-apps/manual/packages/nvhpc/25.5/Linux_x86_64/25.5/profilers/Nsight_Systems/host-linux-x64/reports/opengl_khr_range_sum.py]... 
SKIPPED: /storage/home/hcoda1/6/sbryngelson3/scratch/nncfd/profiles/taylor_green_fft.sqlite does not contain KHR Extension (KHR_DEBUG) data.

Processing [/storage/home/hcoda1/6/sbryngelson3/scratch/nncfd/profiles/taylor_green_fft.sqlite] with [/storage/pace-apps/manual/packages/nvhpc/25.5/Linux_x86_64/25.5/profilers/Nsight_Systems/host-linux-x64/reports/opengl_khr_gpu_range_sum.py]... 
SKIPPED: /storage/home/hcoda1/6/sbryngelson3/scratch/nncfd/profiles/taylor_green_fft.sqlite does not contain GPU KHR Extension (KHR_DEBUG) data.

Processing [/storage/home/hcoda1/6/sbryngelson3/scratch/nncfd/profiles/taylor_green_fft.sqlite] with [/storage/pace-apps/manual/packages/nvhpc/25.5/Linux_x86_64/25.5/profilers/Nsight_Systems/host-linux-x64/reports/vulkan_marker_sum.py]... 
SKIPPED: /storage/home/hcoda1/6/sbryngelson3/scratch/nncfd/profiles/taylor_green_fft.sqlite does not contain Vulkan Debug Extension (Vulkan Debug Util) data.

Processing [/storage/home/hcoda1/6/sbryngelson3/scratch/nncfd/profiles/taylor_green_fft.sqlite] with [/storage/pace-apps/manual/packages/nvhpc/25.5/Linux_x86_64/25.5/profilers/Nsight_Systems/host-linux-x64/reports/vulkan_gpu_marker_sum.py]... 
SKIPPED: /storage/home/hcoda1/6/sbryngelson3/scratch/nncfd/profiles/taylor_green_fft.sqlite does not contain GPU Vulkan Debug Extension (GPU Vulkan Debug markers) data.

Processing [/storage/home/hcoda1/6/sbryngelson3/scratch/nncfd/profiles/taylor_green_fft.sqlite] with [/storage/pace-apps/manual/packages/nvhpc/25.5/Linux_x86_64/25.5/profilers/Nsight_Systems/host-linux-x64/reports/dx11_pix_sum.py]... 
SKIPPED: /storage/home/hcoda1/6/sbryngelson3/scratch/nncfd/profiles/taylor_green_fft.sqlite does not contain DX11 CPU debug markers.

Processing [/storage/home/hcoda1/6/sbryngelson3/scratch/nncfd/profiles/taylor_green_fft.sqlite] with [/storage/pace-apps/manual/packages/nvhpc/25.5/Linux_x86_64/25.5/profilers/Nsight_Systems/host-linux-x64/reports/dx12_gpu_marker_sum.py]... 
SKIPPED: /storage/home/hcoda1/6/sbryngelson3/scratch/nncfd/profiles/taylor_green_fft.sqlite does not contain DX12 GPU debug markers.

Processing [/storage/home/hcoda1/6/sbryngelson3/scratch/nncfd/profiles/taylor_green_fft.sqlite] with [/storage/pace-apps/manual/packages/nvhpc/25.5/Linux_x86_64/25.5/profilers/Nsight_Systems/host-linux-x64/reports/dx12_pix_sum.py]... 
SKIPPED: /storage/home/hcoda1/6/sbryngelson3/scratch/nncfd/profiles/taylor_green_fft.sqlite does not contain DX12 CPU debug markers.

Processing [/storage/home/hcoda1/6/sbryngelson3/scratch/nncfd/profiles/taylor_green_fft.sqlite] with [/storage/pace-apps/manual/packages/nvhpc/25.5/Linux_x86_64/25.5/profilers/Nsight_Systems/host-linux-x64/reports/wddm_queue_sum.py]... 
